"","Restaurant","Item","Size","Serving_Size","Calories","Calories_From_Fat","Total_Fat.g","Daily_Percent_Total_Fat","Saturated_Fat.g","Daily_Percent_Saturated_Fat","Trans_Fat.g","Cholesterol.mg","Daily_Percent_Cholesterol","Sodium.mg","Daily_Percent_Sodium","Total_Carbohydrates.g","Daily_Percent_Total_Carbohydrates","Dietary_Fiber.g","Daily_Percent_Dietary_Fiber","Sugars.g","Protein.g","Daily_Percent_Protein","Vitamin_A","Vitamin_C","Calcium","Iron","Type"
"1","mcdonalds","bacon mcdouble",NA,165,460,210,24,37,10,50,1,85,28,1120,47,34,11,2,8,7,28,56,6,10,20,20,"Burgers & Sandwiches"
"2","mcdonalds","bacon ranch deluxe mccrispy",NA,1,660,333,37,57,8,40,2,80,27,1490,62,50,17,2,8,12,33,66,NA,NA,NA,NA,"Burgers & Sandwiches"
"3","mcdonalds","bacon ranch mccrispy",NA,1,650,324,36,55,8,40,2,80,27,1610,67,49,16,2,8,11,33,66,NA,NA,4,15,"Burgers & Sandwiches"
"4","mcdonalds","big mac",NA,1,540,250,28,43,10,50,1,80,27,950,40,46,15,3,12,9,25,50,10,2,15,25,"Burgers & Sandwiches"
"5","mcdonalds","big mac bacon",NA,1,610,300,33,51,12,60,1,95,32,1210,50,47,16,3,12,9,30,60,10,8,10,25,"Burgers & Sandwiches"
"6","mcdonalds","cardi b offset meal",NA,2190,NA,680,75,115,29,145,2,140,47,2410,100,336,112,15,60,193,55,110,NA,NA,NA,NA,"Burgers & Sandwiches"
"7","mcdonalds","cheeseburger",NA,1,300,110,12,18,6,30,0.5,40,13,680,28,33,11,2,8,7,15,30,10,2,10,15,"Burgers & Sandwiches"
"8","mcdonalds","cheesy jalapeno bacon quarter pounder","single",1,650,342,38,58,17,85,1.5,120,40,1760,73,41,14,2,8,8,37,74,NA,NA,15,25,"Burgers & Sandwiches"
"9","mcdonalds","cheesy jalapeno bacon quarter pounder","double",1,870,486,54,83,24,120,2.5,190,63,1970,82,41,14,2,8,8,55,110,NA,NA,20,35,"Burgers & Sandwiches"
"10","mcdonalds","daily double",NA,194,440,220,24,37,9,45,1.5,70,23,770,32,33,11,2,8,7,23,46,6,6,20,20,"Burgers & Sandwiches"
"11","mcdonalds","deluxe crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1040,43,47,16,2,8,10,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"12","mcdonalds","double cheeseburger",NA,1,440,200,22,34,11,55,1,85,28,1050,44,34,11,2,8,7,25,50,20,4,15,20,"Burgers & Sandwiches"
"13","mcdonalds","double filet o fish",NA,1,540,230,26,40,6,30,0,80,27,790,33,47,16,2,8,5,28,56,NA,NA,NA,NA,"Burgers & Sandwiches"
"14","mcdonalds","double hamburger",NA,1,330,130,14,22,6,30,1,55,18,650,27,32,11,2,8,6,20,40,NA,NA,NA,NA,"Burgers & Sandwiches"
"15","mcdonalds","double quarter pounder with cheese",NA,1,780,410,45,69,21,105,2.5,175,58,1310,55,43,14,3,12,10,51,102,20,6,20,35,"Burgers & Sandwiches"
"16","mcdonalds","double quarter pounder with cheese deluxe",NA,1,650,350,39,60,15,75,1.5,110,37,1180,49,44,15,3,12,11,32,64,NA,NA,NA,NA,"Burgers & Sandwiches"
"17","mcdonalds","filet o fish",NA,1,390,170,19,29,4,20,0,45,15,560,23,38,13,2,8,5,17,34,4,0,6,10,"Burgers & Sandwiches"
"18","mcdonalds","hamburger",NA,1,250,70,8,12,3,15,0,30,10,480,20,31,10,2,8,6,13,26,2,2,4,15,"Burgers & Sandwiches"
"19","mcdonalds","hot n spicy mcchicken",NA,146,380,160,17,26,3,15,0,35,12,1030,43,41,14,2,8,22,15,30,0,0,15,15,"Burgers & Sandwiches"
"20","mcdonalds","mcchicken",NA,1,410,190,22,34,4,20,0,45,15,590,25,39,13,2,8,5,15,30,2,2,4,15,"Burgers & Sandwiches"
"21","mcdonalds","crispy chicken sandwich",NA,1,470,180,20,31,5,25,0,65,22,1100,46,45,15,1,4,9,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"22","mcdonalds","mcdouble",NA,1,390,160,18,28,8,40,1,70,23,850,35,33,11,2,8,7,22,44,10,2,10,20,"Burgers & Sandwiches"
"23","mcdonalds","mcrib",NA,1,520,252,28,43,9,45,0,75,25,890,37,46,15,2,8,13,24,48,NA,NA,4,20,"Burgers & Sandwiches"
"24","mcdonalds","quarter pounder bacon",NA,1,640,310,34,52,16,80,1.5,125,42,1480,62,44,15,3,12,11,39,78,20,20,20,25,"Burgers & Sandwiches"
"25","mcdonalds","quarter pounder deluxe",NA,1,650,350,39,60,15,75,1.5,110,37,1180,49,44,15,3,12,11,32,64,10,8,25,30,"Burgers & Sandwiches"
"26","mcdonalds","quarter pounder with cheese",NA,1,540,250,28,43,13,65,1.5,100,33,1120,47,42,14,3,12,10,31,62,20,6,15,25,"Burgers & Sandwiches"
"27","mcdonalds","smoky blt quarter pounder with cheese","single",1,770,459,51,78,18,90,2,115,38,1410,59,41,14,3,12,9,36,72,NA,NA,15,25,"Burgers & Sandwiches"
"28","mcdonalds","smoky blt quarter pounder with cheese","double",1,990,603,67,103,25,125,3,185,62,1620,68,42,14,3,12,9,54,108,NA,NA,15,35,"Burgers & Sandwiches"
"29","mcdonalds","spicy deluxe crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1200,50,49,16,2,8,10,27,54,NA,NA,2,15,"Burgers & Sandwiches"
"30","mcdonalds","spicy crispy chicken sandwich",NA,1,530,234,26,40,4,20,0,65,22,1230,51,47,16,1,4,9,27,54,NA,NA,2,10,"Burgers & Sandwiches"
"31","mcdonalds","triple cheeseburger",NA,1,520,250,28,43,14,70,1.5,110,37,1180,49,35,12,2,8,7,32,64,20,2,20,25,"Burgers & Sandwiches"
"32","mcdonalds","1 low fat milk jug",NA,236,100,20,3,5,1.5,8,0,10,3,125,5,12,4,0,0,12,8,16,10,4,30,0,"Beverages"
"33","mcdonalds","minute maid apple juice box",NA,200,35,0,0,0,0,0,0,0,0,10,0,9,3,0,0,8,0,0,0,NA,0,0,"Beverages"
"34","mcdonalds","coca cola classic","extra small",1,110,0,0,0,0,0,0,0,0,35,1,31,10,0,0,31,0,0,0,0,0,0,"Beverages"
"35","mcdonalds","coca cola classic","small",16,150,0,0,0,0,0,0,0,0,40,2,39,13,0,0,39,0,0,0,0,0,0,"Beverages"
"36","mcdonalds","coca cola classic","medium",21,220,0,0,0,0,0,0,0,0,55,2,59,20,0,0,59,0,0,0,0,0,0,"Beverages"
"37","mcdonalds","coca cola classic","large",30,290,0,0,0,0,0,0,0,0,85,4,80,27,0,0,80,0,0,0,0,0,0,"Beverages"
"38","mcdonalds","dasanicopy water",NA,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"39","mcdonalds","diet coke","medium",21,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"40","mcdonalds","diet coke","extra small",1,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"41","mcdonalds","diet coke","small",16,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"42","mcdonalds","diet coke","large",30,0,0,0,0,0,0,0,0,0,95,4,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"43","mcdonalds","diet dr pepper","medium",21,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,15,0,"Beverages"
"44","mcdonalds","diet dr pepper","extra small",1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,10,0,"Beverages"
"45","mcdonalds","diet dr pepper","small",16,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,2,0,"Beverages"
"46","mcdonalds","diet dr pepper","large",30,0,0,0,0,0,0,0,0,0,65,3,0,0,0,0,0,0,0,0,0,25,NA,"Beverages"
"47","mcdonalds","dr pepper","extra small",1,120,0,0,0,0,0,0,0,0,40,2,32,11,0,0,32,0,0,0,0,0,0,"Beverages"
"48","mcdonalds","dr pepper","small",1,170,0,0,0,0,0,0,0,0,55,2,46,15,0,0,45,0,0,0,0,0,0,"Beverages"
"49","mcdonalds","dr pepper","medium",21,210,0,0,0,0,0,0,0,0,70,3,58,19,0,0,57,0,0,0,0,0,0,"Beverages"
"50","mcdonalds","dr pepper","large",30,290,0,0,0,0,0,0,0,0,95,4,79,26,0,0,78,0,0,0,0,0,0,"Beverages"
"51","mcdonalds","fanta orange","small",1,150,0,0,0,0,0,0,0,0,40,2,39,13,0,0,38,0,0,0,0,0,0,"Beverages"
"52","mcdonalds","fanta orange","medium",1,210,0,0,0,0,0,0,0,0,60,3,56,19,0,0,55,0,0,0,0,0,0,"Beverages"
"53","mcdonalds","fanta orange","large",1,300,0,0,0,0,0,0,0,0,80,3,78,26,0,0,76,0,0,0,0,0,0,"Beverages"
"54","mcdonalds","fat free chocolate milk jug",NA,1,130,0,0,0,0,0,0,5,2,135,6,23,8,0,0,22,9,18,10,0,30,8,"Beverages"
"55","mcdonalds","hi c orange lavaburst","extra small",1,110,0,0,0,0,0,0,0,0,30,1,29,10,0,0,29,0,0,NA,NA,0,0,"Beverages"
"56","mcdonalds","hi c orange lavaburst","small",1,160,0,0,0,0,0,0,0,0,40,2,40,13,0,0,0,NA,NA,NA,NA,0,0,"Beverages"
"57","mcdonalds","hi c orange lavaburst","medium",21,240,0,0,0,0,0,0,0,0,10,0,64,21,0,0,64,0,0,0,210,0,0,"Beverages"
"58","mcdonalds","hi c orange lavaburst","large",1,310,0,0,0,0,0,0,0,0,80,3,80,27,0,0,80,0,0,NA,NA,0,0,"Beverages"
"59","mcdonalds","iced tea","medium",21,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,2,0,0,0,0,"Beverages"
"60","mcdonalds","iced tea","extra small",1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,2,0,0,0,0,"Beverages"
"61","mcdonalds","iced tea","small",16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Beverages"
"62","mcdonalds","iced tea","large",30,5,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,2,0,0,0,0,"Beverages"
"63","mcdonalds","lemonade","small",1,150,0,0,0,0,0,0,0,0,10,0,37,12,0,0,34,0,0,NA,NA,0,0,"Beverages"
"64","mcdonalds","lemonade","medium",1,230,0,0,0,0,0,0,0,0,20,1,58,19,0,0,54,0,0,NA,NA,0,0,"Beverages"
"65","mcdonalds","lemonade","large",1,320,0,0,0,0,0,0,0,0,25,1,81,27,0,0,75,0,0,NA,NA,0,0,"Beverages"
"66","mcdonalds","mango pineapple smoothie","small",12,200,5,1,2,0,0,0,5,2,35,1,45,15,1,4,42,2,4,30,20,6,2,"Beverages"
"67","mcdonalds","mango pineapple smoothie","medium",1,250,5,1,2,0,0,0,5,2,45,2,57,19,1,4,52,3,6,35,25,8,2,"Beverages"
"68","mcdonalds","mango pineapple smoothie","large",1,340,10,1,2,0.5,3,0,5,2,60,3,78,26,2,8,72,4,8,50,30,10,2,"Beverages"
"69","mcdonalds","minute maid orange juice",NA,16,190,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,3,6,0,180,4,0,"Beverages"
"70","mcdonalds","sprite","extra small",1,90,0,0,0,0,0,0,0,0,50,2,27,9,0,0,27,0,0,0,0,0,0,"Beverages"
"71","mcdonalds","sprite","small",16,150,0,0,0,0,0,0,0,0,70,3,39,13,0,0,38,0,0,0,0,0,0,"Beverages"
"72","mcdonalds","sprite","medium",21,210,0,0,0,0,0,0,0,0,95,4,55,18,0,0,54,0,0,0,0,0,0,"Beverages"
"73","mcdonalds","sprite","large",30,280,0,0,0,0,0,0,0,0,130,5,74,25,0,0,73,0,0,0,0,0,0,"Beverages"
"74","mcdonalds","strawberry banana smoothie","small",12,190,5,1,2,0,0,0,5,2,40,2,44,15,2,8,39,2,4,0,25,6,2,"Beverages"
"75","mcdonalds","strawberry banana smoothie","medium",16,240,5,1,2,0,0,0,5,2,50,2,55,18,3,12,49,3,6,0,30,8,2,"Beverages"
"76","mcdonalds","strawberry banana smoothie","large",22,330,10,1,2,0.5,3,0,5,2,70,3,76,25,4,16,68,4,8,0,45,10,4,"Beverages"
"77","mcdonalds","sweet tea","extra small",1,60,0,0,0,0,0,0,0,0,10,0,15,5,0,0,15,0,0,0,0,0,0,"Beverages"
"78","mcdonalds","sweet tea","small",16,90,0,0,0,0,0,0,0,0,15,1,21,7,0,0,21,0,0,0,0,0,0,"Beverages"
"79","mcdonalds","sweet tea","medium",21,110,0,0,0,0,0,0,0,0,20,1,28,9,0,0,28,0,0,0,0,0,0,"Beverages"
"80","mcdonalds","sweet tea","large",30,160,0,0,0,0,0,0,0,0,25,1,38,13,0,0,38,0,0,0,0,2,0,"Beverages"
"81","mcdonalds","apple fritter",NA,1,510,261,29,45,12,60,0,0,0,360,15,58,19,3,12,28,5,10,NA,NA,6,10,"Breakfast"
"82","mcdonalds","bacon egg cheese bagel",NA,1,550,220,25,38,11,55,0.5,225,75,1260,53,54,18,4,16,7,26,52,20,15,20,20,"Breakfast"
"83","mcdonalds","bacon egg cheese biscuit","regular size",1,450,220,24,37,12,60,0,200,67,1300,54,40,13,2,8,3,18,36,10,10,15,20,"Breakfast"
"84","mcdonalds","bacon egg cheese biscuit","large size",1,480,230,25,38,12,60,0,235,78,1310,55,43,14,3,12,4,19,38,15,10,10,20,"Breakfast"
"85","mcdonalds","bacon egg cheese mcgriddles",NA,1,420,160,18,28,8,40,0,195,65,1230,51,45,15,2,8,15,18,36,10,10,15,15,"Breakfast"
"86","mcdonalds","big breakfast with hotcakes",NA,1,1340,580,64,98,25,125,0.5,505,168,2090,87,155,52,6,24,48,35,70,15,4,25,40,"Breakfast"
"87","mcdonalds","big breakfast",NA,1,750,440,49,75,18,90,0,465,155,1490,62,53,18,3,12,3,25,50,10,4,15,25,"Breakfast"
"88","mcdonalds","blueberry muffin",NA,1,470,198,22,34,3.5,18,0,35,12,360,15,64,21,2,8,36,6,12,NA,NA,4,10,"Breakfast"
"89","mcdonalds","cinnamon roll",NA,1,560,153,17,26,8,40,0,35,12,490,20,92,31,8,32,46,9,18,NA,NA,4,20,"Breakfast"
"90","mcdonalds","egg mcmuffin",NA,137,300,110,12,18,6,30,0,245,82,760,32,30,10,2,8,3,17,34,15,2,15,15,"Breakfast"
"91","mcdonalds","fruit maple oatmeal","wo brown sugar",1,260,40,4,6,1.5,8,0,5,2,115,5,49,16,5,20,18,6,12,2,130,6,10,"Breakfast"
"92","mcdonalds","fruit maple oatmeal","w brown sugar",1,310,35,4,6,1.5,8,0,5,2,140,6,62,21,5,20,33,6,12,2,130,8,10,"Breakfast"
"93","mcdonalds","hash brown",NA,56,150,80,9,14,1.5,8,0,0,0,320,13,16,5,1,4,0,1,2,0,2,0,2,"Breakfast"
"94","mcdonalds","hotcakes",NA,1,590,140,15,23,6,30,0,40,13,600,25,102,34,2,8,45,9,18,4,0,15,15,"Breakfast"
"95","mcdonalds","hotcakes and sausage",NA,1,780,300,33,51,13,65,0,75,25,880,37,103,34,2,8,45,16,32,6,2,15,15,"Breakfast"
"96","mcdonalds","sausage biscuit","regular size",1,460,270,30,46,13,65,0,40,13,1050,44,36,12,2,8,3,11,22,2,2,8,15,"Breakfast"
"97","mcdonalds","sausage biscuit","large size",1,490,280,32,49,13,65,0,75,25,1070,45,39,13,2,8,3,12,24,2,2,2,15,"Breakfast"
"98","mcdonalds","sausage biscuit with egg","regular size",1,530,310,34,52,15,75,0,205,68,1140,48,38,13,2,8,3,17,34,4,2,10,20,"Breakfast"
"99","mcdonalds","sausage biscuit with egg","large size",1,530,310,34,52,14,70,0,210,70,1160,48,38,13,2,8,3,17,34,4,0,10,20,"Breakfast"
"100","mcdonalds","sausage burrito",NA,1,300,140,16,25,6,30,0,165,55,780,33,26,9,1,4,2,13,26,10,6,10,15,"Breakfast"
"101","mcdonalds","sausage mcgriddles",NA,1,430,220,24,37,9,45,0,35,12,990,41,42,14,1,4,15,11,22,2,2,8,10,"Breakfast"
"102","mcdonalds","sausage mcmuffin",NA,1,400,230,25,38,10,50,0.5,55,18,760,32,29,10,2,8,3,14,28,10,4,15,15,"Breakfast"
"103","mcdonalds","sausage mcmuffin with egg",NA,1,480,270,30,46,12,60,0.5,275,92,830,35,30,10,2,8,3,21,42,15,4,15,20,"Breakfast"
"104","mcdonalds","sausage egg cheese mcgriddles",NA,1,550,290,32,49,13,65,0,215,72,1280,53,45,15,2,8,15,20,40,15,2,15,15,"Breakfast"
"105","mcdonalds","chicken mcnuggets","4 piece",4,180,100,11,17,2,10,0,30,10,340,14,11,4,1,4,0,10,20,0,2,0,2,"Chicken Nuggets and Strips"
"106","mcdonalds","chicken mcnuggets","6 piece",6,270,140,16,25,2.5,13,0,45,15,510,21,16,5,1,4,0,15,30,0,2,0,4,"Chicken Nuggets and Strips"
"107","mcdonalds","chicken mcnuggets","10 piece",10,440,240,27,42,4.5,23,0,75,25,840,35,26,9,2,8,0,24,48,0,4,2,6,"Chicken Nuggets and Strips"
"108","mcdonalds","chicken mcnuggets","20 piece",20,890,480,53,82,9,45,0,145,48,1680,70,53,18,4,16,0,49,98,0,8,4,10,"Chicken Nuggets and Strips"
"109","mcdonalds","chicken mcnuggets","40 piece",40,1770,960,107,165,18,90,0.5,295,98,3370,140,105,35,7,28,1,98,196,0,15,6,25,"Chicken Nuggets and Strips"
"110","mcdonalds","big mac sauce",NA,1,70,63,7,11,1,5,0,5,2,70,3,2,1,0,0,1,0,0,NA,NA,0,0,"Condiments"
"111","mcdonalds","chipotle barbeque sauce",NA,28,50,0,0,0,0,0,0,0,0,190,8,11,4,0,0,10,0,0,4,0,2,2,"Condiments"
"112","mcdonalds","coffee cream",NA,11,20,20,2,3,1.5,8,0,10,3,15,1,0,0,0,0,0,0,0,2,0,2,0,"Condiments"
"113","mcdonalds","creamy ranch sauce",NA,22,110,110,12,18,2,10,0,5,2,170,7,1,0,0,0,1,0,0,0,0,0,0,"Condiments"
"114","mcdonalds","equal 0 calorie sweetener",NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Condiments"
"115","mcdonalds","grape jam",NA,14,35,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,0,0,0,2,0,0,"Condiments"
"116","mcdonalds","honey",NA,1,50,0,0,0,0,0,0,0,0,0,0,12,4,0,0,11,0,0,0,0,0,0,"Condiments"
"117","mcdonalds","honey mustard sauce",NA,22,60,35,4,6,0.5,3,0,5,2,115,5,6,2,1,4,5,0,0,0,0,0,0,"Condiments"
"118","mcdonalds","hot habanero sauce",NA,0.8,80,60,7,11,1,5,0,10,3,180,8,5,2,1,4,2,1,2,0,0,2,2,"Condiments"
"119","mcdonalds","hotcake syrup",NA,60,180,0,0,0,0,0,0,0,0,20,1,45,15,0,0,32,0,0,0,0,0,0,"Condiments"
"120","mcdonalds","ketchup packet",NA,1,10,0,0,0,0,0,0,0,0,100,4,3,1,0,0,2,0,0,2,2,0,0,"Condiments"
"121","mcdonalds","mambo sauce",NA,1,60,0,0,0,0,0,0,0,0,220,9,14,5,0,0,13,0,0,NA,NA,NA,NA,"Condiments"
"122","mcdonalds","marinara sauce",NA,0.8,15,0,0,0,0,0,0,0,0,75,3,2,1,0,0,2,0,0,4,0,0,0,"Condiments"
"123","mcdonalds","newmans own creamy southwest dressing",NA,1.5,100,50,6,9,1,5,0,20,7,340,14,11,4,0,0,3,1,2,0,0,2,2,"Condiments"
"124","mcdonalds","newmans own low fat balsamic vinaigrette",NA,1.5,35,25,3,5,0,0,0,0,0,420,18,3,1,0,0,3,0,0,0,0,0,0,"Condiments"
"125","mcdonalds","newmans own low fat italian dressing",NA,1.5,50,20,3,5,0.5,3,0,0,0,390,16,7,2,0,0,2,1,2,0,0,2,0,"Condiments"
"126","mcdonalds","newmans own low fat sesame ginger dressing",NA,1.5,90,25,3,5,0,0,0,0,0,410,17,15,5,1,4,9,1,2,0,4,0,0,"Condiments"
"127","mcdonalds","newmans own ranch dressing",NA,2,170,130,15,23,2.5,13,0,20,7,530,22,9,3,0,0,4,1,2,0,0,4,0,"Condiments"
"128","mcdonalds","peanuts for sundaes",NA,7,45,30,4,6,0.5,3,0,0,0,0,0,2,1,1,4,0,2,4,0,0,0,0,"Condiments"
"129","mcdonalds","salt packet",NA,1,0,0,0,0,0,0,0,0,0,270,11,0,0,0,0,0,0,0,0,0,0,0,"Condiments"
"130","mcdonalds","spicy buffalo sauce",NA,22,35,30,3,5,0,0,0,0,0,540,23,1,0,0,0,0,0,0,6,0,0,0,"Condiments"
"131","mcdonalds","splenda no calorie sweetener",NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Condiments"
"132","mcdonalds","strawberry preserves",NA,14,35,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,0,0,0,4,0,0,"Condiments"
"133","mcdonalds","sugar packet",NA,1,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,0,0,"Condiments"
"134","mcdonalds","sweet spicy jam",NA,1,80,0,0,0,0,0,0,0,0,160,7,19,6,0,0,16,0,0,NA,NA,0,0,"Condiments"
"135","mcdonalds","sweet n sour sauce",NA,1,50,0,0,0,0,0,0,0,0,150,6,12,4,0,0,10,0,0,2,0,0,0,"Condiments"
"136","mcdonalds","sweet chili sauce",NA,28,50,0,0,0,0,0,0,0,0,150,6,12,4,0,0,11,0,0,0,0,0,0,"Condiments"
"137","mcdonalds","szechuan sauce",NA,1,35,0,0,0,0,0,0,0,0,340,14,8,3,0,0,7,0,0,NA,NA,0,0,"Condiments"
"138","mcdonalds","tangy barbeque sauce",NA,1,50,0,0,0,0,0,0,0,0,260,11,12,4,0,0,10,0,0,2,0,0,0,"Condiments"
"139","mcdonalds","tartar sauce cup",NA,28,140,130,15,23,2.5,13,0,10,3,150,6,0,0,0,0,0,0,0,0,0,2,2,"Condiments"
"140","mcdonalds","whipped margarine",NA,1,40,40,5,8,1.5,8,0,0,0,55,2,0,0,0,0,0,0,0,4,0,0,0,"Condiments"
"141","mcdonalds","baked hot apple pie",NA,1,240,100,11,17,6,30,0,0,0,95,4,35,12,4,16,16,2,4,2,15,2,6,"Desserts"
"142","mcdonalds","cheese danish",NA,1,390,171,19,29,9,45,0,15,5,340,14,47,16,1,4,24,6,12,NA,NA,4,8,"Desserts"
"143","mcdonalds","chocolate chip cookie",NA,1,160,70,7,11,3.5,18,0,10,3,90,4,22,7,1,4,14,2,4,4,0,2,8,"Desserts"
"144","mcdonalds","chocolate mccafe shake","small",12,530,130,15,23,9,45,0.5,60,20,260,11,87,29,1,4,74,12,24,20,0,40,2,"Desserts"
"145","mcdonalds","chocolate mccafe shake","medium",16,630,160,17,26,11,55,1,70,23,310,13,104,35,1,4,89,14,28,25,0,45,2,"Desserts"
"146","mcdonalds","chocolate mccafe shake","large",22,840,200,22,34,14,70,1,90,30,420,18,142,47,1,4,122,19,38,35,0,60,4,"Desserts"
"147","mcdonalds","grimaces birthday shake",NA,1,580,135,15,23,9,45,0.5,60,20,170,7,97,32,0,0,75,12,24,NA,NA,30,0,"Desserts"
"148","mcdonalds","hot caramel sundae",NA,1,380,100,6,9,6,30,0,30,10,160,7,51,17,1,4,44,9,18,10,0,25,0,"Desserts"
"149","mcdonalds","hot fudge sundae",NA,1,380,120,8,12,8,40,0,25,8,180,8,43,14,3,12,47,10,20,10,0,25,4,"Desserts"
"150","mcdonalds","kiddie ice cream cone",NA,1,45,10,1,2,0.5,3,0,5,2,20,1,5,2,0,0,6,1,2,2,0,4,0,"Desserts"
"151","mcdonalds","mcflurry w mms candies","snack size",1,420,130,15,23,9,45,0,35,12,130,5,51,17,1,4,58,9,18,15,0,30,2,"Desserts"
"152","mcdonalds","mcflurry w mms candies","regular",12,630,200,22,34,14,70,0.5,50,17,200,8,77,26,2,8,86,13,26,20,0,45,4,"Desserts"
"153","mcdonalds","mcflurry w oreo cookies","snack size",1,340,100,11,17,6,30,0,30,10,180,8,40,13,0,0,42,8,16,10,0,25,4,"Desserts"
"154","mcdonalds","mcflurry w oreo cookies","regular",12,510,150,17,26,9,45,0.5,45,15,280,12,60,20,1,4,64,12,24,20,0,35,6,"Desserts"
"155","mcdonalds","oreo fudge mcflurry","snack size",1,460,135,15,23,9,45,0,30,10,260,11,72,24,2,8,57,10,20,NA,NA,25,8,"Desserts"
"156","mcdonalds","oreo fudge mcflurry","regular",1,630,180,20,31,12,60,0.5,40,13,15,1,99,33,3,12,77,14,28,NA,NA,NA,NA,"Desserts"
"157","mcdonalds","peanut butter crunch mcflurry",NA,1,510,144,16,25,10,50,0,40,13,220,9,78,26,1,4,59,12,24,NA,NA,380,6.5,"Desserts"
"158","mcdonalds","mccafe shamrock shake","small",1,460,120,13,20,8,40,0.5,55,18,150,6,74,25,0,0,63,10,20,20,0,25,0,"Desserts"
"159","mcdonalds","mccafe shamrock shake","medium",1,560,140,16,25,10,50,1,65,22,190,8,91,30,0,0,78,12,24,25,0,30,0,"Desserts"
"160","mcdonalds","mccafe shamrock shake","large",1,790,200,22,34,14,70,1,90,30,280,12,130,43,0,0,112,18,36,35,0,50,0,"Desserts"
"161","mcdonalds","strawberry mccafe shake","small",12,500,130,15,23,9,45,0.5,60,20,190,8,80,27,0,0,71,12,24,35,2,40,0,"Desserts"
"162","mcdonalds","strawberry mccafe shake","medium",16,590,160,18,28,11,55,1,70,23,230,10,95,32,0,0,84,14,28,40,2,50,0,"Desserts"
"163","mcdonalds","strawberry mccafe shake","large",16,800,200,23,35,14,70,1,95,32,310,13,130,43,0,0,115,19,38,60,4,70,0,"Desserts"
"164","mcdonalds","strawberry shortcake mcflurry",NA,1,550,171,19,29,13,65,0.5,45,15,260,11,78,26,0,0,62,12,24,NA,NA,NA,2,"Desserts"
"165","mcdonalds","vanilla reduced fat ice cream cone",NA,1,200,45,5,8,3.5,18,0,20,7,80,3,23,8,0,0,24,5,10,8,0,15,2,"Desserts"
"166","mcdonalds","vanilla mccafe shake","small",12,490,130,14,22,9,45,0.5,60,20,230,10,79,26,0,0,59,11,22,20,0,35,0,"Desserts"
"167","mcdonalds","vanilla mccafe shake","medium",16,600,160,17,26,11,55,1,70,23,270,11,73,24,0,0,72,14,28,25,0,45,0,"Desserts"
"168","mcdonalds","vanilla mccafe shake","large",22,800,200,22,34,14,70,1,90,30,370,15,99,33,0,0,99,19,38,35,2,60,0,"Desserts"
"169","mcdonalds","chicken mcnuggets happy meal","4 piece",1,395,162,18,28,3.5,18,0,35,12,545,23,41,14,1,4,15,19,38,NA,NA,32,4,"Happy Meals"
"170","mcdonalds","chicken mcnuggets happy meal","6 piece",1,475,207,23,35,4.5,23,0,50,17,715,30,46,15,2,8,15,14,28,NA,NA,32,6,"Happy Meals"
"171","mcdonalds","hamburger happy meal",NA,1,475,144,16,25,5,25,0,40,13,695,29,62,21,2,8,21,23,46,NA,NA,34,17,"Happy Meals"
"172","mcdonalds","americano","small",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McCafe Coffee"
"173","mcdonalds","americano","medium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McCafe Coffee"
"174","mcdonalds","americano","large",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McCafe Coffee"
"175","mcdonalds","cappuccino","small",1,120,50,6,9,3.5,18,0,20,7,80,3,9,3,0,0,9,8,16,6,0,20,0,"McCafe Coffee"
